¿compras_productos_de_dermocosmética?,¿has_comprado_productos_de_dermocosmética_en_fybeca_alguna_vez?,"cuando_piensas_en_fybeca,_¿qué_tan_asociada_la_percibes_con_productos_de_dermocosmética?",¿cuál_de_las_siguientes_palabras_describe_mejor_a_fybeca_en_dermocosmética?,"la_comunicación_de_fybeca_sobre_dermocosmética_(imágenes,_textos,_promociones)_es:","¿sientes_que_la_comunicación_de_fybeca_aborda_problemas_reales_de_la_piel_(acné,_manchas,_sensibilidad,_envejecimiento,_etc.)?",¿qué_te_gustaría_ver_más_en_la_comunicación_de_fybeca?:_beneficios_claros_del_producto,¿qué_te_gustaría_ver_más_en_la_comunicación_de_fybeca?:_recomendaciones_según_tipo_de_piel,¿qué_te_gustaría_ver_más_en_la_comunicación_de_fybeca?:_antes_y_después_/_resultados,¿qué_te_gustaría_ver_más_en_la_comunicación_de_fybeca?:_consejos_de_expertos,¿qué_te_gustaría_ver_más_en_la_comunicación_de_fybeca?:_promociones_y_descuentos,¿qué_te_gustaría_ver_más_en_la_comunicación_de_fybeca?:_comparación_entre_productos,¿cómo_percibes_los_precios_de_fybeca_en_dermocosmética?,¿qué_factor_influye_más_en_tu_decisión_de_compra_de_productos_dermocosméticos?:_totalmente_en_desacuerdo,¿qué_factor_influye_más_en_tu_decisión_de_compra_de_productos_dermocosméticos?:_en_desacuerdo,¿qué_factor_influye_más_en_tu_decisión_de_compra_de_productos_dermocosméticos?:_ni_de_acuerdo_ni_en_desacuerdo,¿qué_factor_influye_más_en_tu_decisión_de_compra_de_productos_dermocosméticos?:_de_acuerdo,¿qué_factor_influye_más_en_tu_decisión_de_compra_de_productos_dermocosméticos?:_totalmente_de_acuerdo,¿qué_tanto_confías_en_fybeca_como_experta_en_el_cuidado_de_la_piel?,¿crees_que_en_fybeca_puedes_recibir_asesoría_adecuada_para_elegir_productos_dermocosméticos?,¿qué_te_daría_más_confianza_al_comprar_dermocosmética_en_fybeca?:_personal_capacitado,¿qué_te_daría_más_confianza_al_comprar_dermocosmética_en_fybeca?:_recomendaciones_dermatológicas,¿qué_te_daría_más_confianza_al_comprar_dermocosmética_en_fybeca?:_test_de_piel,¿qué_te_daría_más_confianza_al_comprar_dermocosmética_en_fybeca?:_contenido_educativo,¿qué_te_daría_más_confianza_al_comprar_dermocosmética_en_fybeca?:_opiniones_de_otros_clientes,¿qué_debería_mejorar_fybeca_para_que_la_elijas_como_tu_principal_lugar_de_compra_de_dermocosmética?,ciudad:,ciudad
Sí,"Sí, recientemente (últimos 6 meses)",Algo asociada,Confiable,Clara,No,nan,Recomendaciones según tipo de piel,nan,nan,nan,nan,Más bajos que la competencia,"Precio, Calidad",nan,nan,nan,Producto,Algo,En parte,Personal capacitado,nan,nan,nan,nan,El personal,Quito,Quito
Sí,"Sí, pero hace más de 6 meses",Algo asociada,Confiable,Muy clara,En parte,Beneficios claros del producto,nan,nan,Consejos de expertos,nan,nan,Similares,nan,nan,nan,"Precio, Calidad, Producto",nan,Algo,En parte,nan,Recomendaciones dermatológicas,nan,Contenido educativo,nan,Taller de cuidados faciales,Quito,Quito
Sí,"Sí, pero hace más de 6 meses",Algo asociada,Confiable,Clara,"Sí, claramente",nan,nan,Antes y después / resultados,nan,nan,nan,Similares,"Precio, Calidad, Producto",nan,nan,nan,nan,Mucho,"Sí, totalmente",nan,Recomendaciones dermatológicas,nan,nan,nan,Asesoria,Quito,Quito
Sí,"Sí, pero hace más de 6 meses",Poco asociada,Básica,No la he visto,En parte,nan,nan,nan,nan,Promociones y descuentos,nan,Similares,Calidad,Precio,nan,Producto,nan,Algo,"Sí, totalmente",nan,nan,Test de piel,nan,nan,La atención y el personal más comunicativo amable y sensible con un carácter bueno,Quito,Quito
Sí,"Sí, pero hace más de 6 meses",Algo asociada,Confiable,Muy clara,En parte,Beneficios claros del producto,Recomendaciones según tipo de piel,Antes y después / resultados,nan,nan,nan,Similares,nan,nan,nan,"Precio, Producto",Calidad,Mucho,En parte,Personal capacitado,Recomendaciones dermatológicas,Test de piel,nan,nan,Recomendaciones de expertos,Quito,Quito
Sí,"Sí, recientemente (últimos 6 meses)",Muy asociada,Económica,Muy clara,"Sí, claramente",nan,nan,nan,Consejos de expertos,nan,nan,Más bajos que la competencia,"Precio, Calidad, Producto",nan,nan,nan,nan,Mucho,"Sí, totalmente",Personal capacitado,nan,nan,nan,nan,Nada,Quito,Quito
Sí,"Sí, recientemente (últimos 6 meses)",Algo asociada,Confiable,Clara,En parte,nan,Recomendaciones según tipo de piel,nan,Consejos de expertos,nan,nan,Similares,nan,nan,"Precio, Calidad, Producto",nan,nan,Algo,"Sí, totalmente",nan,Recomendaciones dermatológicas,nan,nan,nan,Me gustaría tener personas especialistas en la piel,Quito,Quito
Sí,"Sí, recientemente (últimos 6 meses)",Muy asociada,Confiable,Muy clara,"Sí, claramente",nan,nan,Antes y después / resultados,nan,nan,nan,Similares,nan,nan,nan,Precio,"Calidad, Producto",Mucho,"Sí, totalmente",Personal capacitado,nan,nan,nan,nan,Estar p ndiente d l cliente en el resultado del producto,Quito,Quito
Sí,"Sí, recientemente (últimos 6 meses)",Muy asociada,Experta,Muy clara,"Sí, claramente",nan,nan,Antes y después / resultados,nan,nan,nan,Similares,nan,nan,nan,Precio,"Calidad, Producto",Mucho,"Sí, totalmente",Personal capacitado,nan,Test de piel,nan,nan,Para mí en lo personal nada,Quito,Quito
No estoy seguro/a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Quitó,Quito
Sí,"Sí, pero hace más de 6 meses",Muy asociada,Confiable,Muy clara,"Sí, claramente",nan,Recomendaciones según tipo de piel,nan,nan,nan,nan,Similares,nan,nan,Precio,nan,"Calidad, Producto",Mucho,"Sí, totalmente",Personal capacitado,nan,nan,nan,nan,Impulsar más el producto,Quito,Quito
No estoy seguro/a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Quito,Quito
Sí,"No, nunca",Muy asociada,Experta,Muy clara,"Sí, claramente",Beneficios claros del producto,nan,nan,nan,nan,nan,Similares,nan,nan,nan,nan,"Precio, Calidad, Producto",Mucho,"Sí, totalmente",Personal capacitado,nan,nan,nan,nan,Promociones,Riobamba,Quito
Sí,"Sí, pero hace más de 6 meses",Muy asociada,Confiable,Muy clara,"Sí, claramente",nan,Recomendaciones según tipo de piel,nan,nan,nan,nan,Similares,Producto,nan,nan,nan,"Precio, Calidad",Mucho,"Sí, totalmente",Personal capacitado,Recomendaciones dermatológicas,nan,nan,nan,"Nada, lo tiene todo para la piel",Quito,Quito
Sí,"Sí, recientemente (últimos 6 meses)",Muy asociada,Confiable,Muy clara,"Sí, claramente",nan,Recomendaciones según tipo de piel,nan,nan,nan,nan,Más altos,nan,nan,nan,Precio,"Calidad, Producto",Mucho,"Sí, totalmente",Personal capacitado,nan,Test de piel,nan,nan,Ninguno,Quito,Quito
No estoy seguro/a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Quito,Quito
Sí,"Sí, recientemente (últimos 6 meses)",Muy asociada,Confiable,Clara,"Sí, claramente",Beneficios claros del producto,Recomendaciones según tipo de piel,Antes y después / resultados,nan,Promociones y descuentos,Comparación entre productos,Más bajos que la competencia,nan,nan,nan,nan,"Precio, Calidad, Producto",Mucho,En parte,Personal capacitado,Recomendaciones dermatológicas,Test de piel,nan,nan,Variedad de productos económicos y buenos,Latacunga,Quito
Sí,"Sí, recientemente (últimos 6 meses)",Muy asociada,Confiable,Muy clara,"Sí, claramente",nan,Recomendaciones según tipo de piel,nan,nan,nan,nan,Similares,"Calidad, Producto",nan,nan,nan,Precio,Mucho,"Sí, totalmente",Personal capacitado,nan,nan,nan,nan,Si,Quito,Quito
Sí,"Sí, pero hace más de 6 meses",Algo asociada,Moderna,Clara,En parte,nan,nan,nan,nan,nan,Comparación entre productos,Más altos,nan,"Precio, Calidad",nan,Producto,nan,Algo,"Sí, totalmente",Personal capacitado,nan,nan,nan,nan,Los precios son muy altos,Puyo,Quito
Sí,"Sí, recientemente (últimos 6 meses)",Muy asociada,Experta,Muy clara,En parte,Beneficios claros del producto,nan,Antes y después / resultados,nan,nan,nan,Similares,"Precio, Calidad, Producto",nan,nan,nan,nan,Mucho,"Sí, totalmente",Personal capacitado,Recomendaciones dermatológicas,nan,nan,nan,Mejorar en marcas naturales,Quito,Quito
Sí,"Sí, pero hace más de 6 meses",Muy asociada,Experta,Muy clara,"Sí, claramente",Beneficios claros del producto,Recomendaciones según tipo de piel,nan,nan,nan,nan,Más altos,nan,nan,nan,Precio,"Calidad, Producto",Algo,"Sí, totalmente",Personal capacitado,nan,nan,nan,nan,La atención al cliente,Quito,Quito
Sí,"Sí, pero hace más de 6 meses",Algo asociada,Confusa,Poco clara,En parte,nan,Recomendaciones según tipo de piel,Antes y después / resultados,nan,Promociones y descuentos,nan,No lo sé,nan,nan,"Precio, Calidad",Producto,nan,Algo,En parte,Personal capacitado,Recomendaciones dermatológicas,nan,nan,nan,Que las promociones no sean falsas,Quiti,Quito
No estoy seguro/a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Quito,Quito
Sí,"Sí, recientemente (últimos 6 meses)",Muy asociada,Económica,Muy clara,"Sí, claramente",Beneficios claros del producto,nan,nan,nan,nan,nan,Similares,nan,nan,nan,nan,"Precio, Calidad, Producto",Mucho,"Sí, totalmente",Personal capacitado,Recomendaciones dermatológicas,Test de piel,nan,nan,Más ajilidad en la atención en caja,Atuntaqui,Quito
Sí,"Sí, pero hace más de 6 meses",Algo asociada,Moderna,Clara,En parte,Beneficios claros del producto,Recomendaciones según tipo de piel,Antes y después / resultados,Consejos de expertos,Promociones y descuentos,nan,Similares,nan,nan,Precio,"Calidad, Producto",nan,Algo,En parte,Personal capacitado,Recomendaciones dermatológicas,Test de piel,Contenido educativo,nan,brindar una mejor atención en cuestión de los productos cuando requiero más información de x Producto o que el personal este seguro y brinde confianza al pregunta por la información de x Producto,Quito,Quito
Sí,"Sí, recientemente (últimos 6 meses)",Muy asociada,Confiable,Clara,En parte,Beneficios claros del producto,Recomendaciones según tipo de piel,Antes y después / resultados,nan,nan,nan,Similares,nan,Precio,nan,"Calidad, Producto",nan,Algo,En parte,Personal capacitado,nan,nan,nan,nan,Que las señoritas nos den pruebas de un antes y un después,Quito,Quito
No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Quito,Quito
Sí,"Sí, recientemente (últimos 6 meses)",Muy asociada,Confiable,Muy clara,En parte,nan,nan,Antes y después / resultados,nan,nan,nan,Similares,nan,nan,nan,"Calidad, Producto",Precio,Algo,"Sí, totalmente",nan,nan,Test de piel,nan,nan,Mejores precios,Quito,Quito
Sí,"No, nunca",Muy asociada,Moderna,Muy clara,"Sí, claramente",nan,Recomendaciones según tipo de piel,nan,nan,nan,nan,Similares,nan,nan,Precio,"Calidad, Producto",nan,Mucho,"Sí, totalmente",nan,Recomendaciones dermatológicas,nan,nan,nan,Agilidad en los turnos,Quito,Quito
Sí,"Sí, pero hace más de 6 meses",Muy asociada,Confiable,Clara,"Sí, claramente",nan,Recomendaciones según tipo de piel,Antes y después / resultados,nan,Promociones y descuentos,nan,Similares,nan,nan,nan,Precio,"Calidad, Producto",Mucho,En parte,Personal capacitado,Recomendaciones dermatológicas,Test de piel,nan,nan,Personal capacitado,Quito,Quito
Sí,"Sí, pero hace más de 6 meses",Algo asociada,Confiable,Clara,En parte,Beneficios claros del producto,Recomendaciones según tipo de piel,Antes y después / resultados,nan,nan,nan,Similares,nan,nan,"Precio, Calidad, Producto",nan,nan,Algo,En parte,Personal capacitado,Recomendaciones dermatológicas,Test de piel,nan,nan,Las promociones,Quito,Quito
Sí,"Sí, pero hace más de 6 meses",Algo asociada,Confiable,Clara,"Sí, claramente",Beneficios claros del producto,Recomendaciones según tipo de piel,Antes y después / resultados,nan,Promociones y descuentos,nan,Similares,nan,nan,nan,"Precio, Calidad, Producto",nan,Mucho,En parte,Personal capacitado,nan,Test de piel,nan,Opiniones de otros clientes,Un poco más de sociabilidad con el cliente para poder entender lo que realmente necesito,El Carmen Manabí,Quito
Sí,"Sí, pero hace más de 6 meses",Muy asociada,Moderna,Clara,En parte,Beneficios claros del producto,Recomendaciones según tipo de piel,Antes y después / resultados,Consejos de expertos,Promociones y descuentos,Comparación entre productos,Similares,nan,nan,Precio,nan,"Calidad, Producto",Algo,En parte,Personal capacitado,Recomendaciones dermatológicas,Test de piel,Contenido educativo,Opiniones de otros clientes,Q estén stockeados de productos porque no saben tener todo el kit cuando se necesita,Quito,Quito
Sí,"Sí, recientemente (últimos 6 meses)",Muy asociada,Confiable,Muy clara,En parte,nan,Recomendaciones según tipo de piel,Antes y después / resultados,nan,nan,Comparación entre productos,Similares,nan,nan,Precio,nan,"Calidad, Producto",Mucho,"Sí, totalmente",Personal capacitado,Recomendaciones dermatológicas,Test de piel,nan,Opiniones de otros clientes,Más empatía de los vendedores,Quito,Quito
Sí,"Sí, recientemente (últimos 6 meses)",Muy asociada,Confiable,Muy clara,"Sí, claramente",nan,Recomendaciones según tipo de piel,Antes y después / resultados,Consejos de expertos,nan,nan,Más bajos que la competencia,nan,nan,nan,Calidad,"Precio, Producto",Mucho,En parte,Personal capacitado,Recomendaciones dermatológicas,nan,nan,nan,Recomendaciones dermatólogicas,Quito,Quito
Sí,"Sí, pero hace más de 6 meses",Poco asociada,Moderna,Poco clara,En parte,nan,nan,nan,Consejos de expertos,nan,nan,Similares,nan,nan,Precio,"Calidad, Producto",nan,Algo,En parte,Personal capacitado,nan,nan,nan,nan,Asesoramiento al momento de comprar,Quito,Quito
No estoy seguro/a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Quito,Quito
Sí,"Sí, pero hace más de 6 meses",Muy asociada,Confiable,Clara,En parte,nan,Recomendaciones según tipo de piel,nan,nan,nan,nan,Similares,nan,nan,nan,"Precio, Calidad, Producto",nan,Algo,"Sí, totalmente",nan,Recomendaciones dermatológicas,nan,nan,nan,Sugerencia por parte de ellos y demostrar sus productos,Quito,Quito
Sí,"Sí, pero hace más de 6 meses",Algo asociada,Moderna,Poco clara,En parte,Beneficios claros del producto,Recomendaciones según tipo de piel,Antes y después / resultados,Consejos de expertos,Promociones y descuentos,Comparación entre productos,Más altos,nan,nan,nan,Precio,"Calidad, Producto",Algo,En parte,Personal capacitado,Recomendaciones dermatológicas,Test de piel,nan,nan,Publicidad,Quito,Quito
No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Tena,Quito
Sí,"Sí, recientemente (últimos 6 meses)",Muy asociada,Experta,Muy clara,"Sí, claramente",nan,Recomendaciones según tipo de piel,nan,nan,nan,nan,Más bajos que la competencia,nan,"Precio, Calidad, Producto",nan,nan,nan,Mucho,"Sí, totalmente",nan,nan,Test de piel,nan,nan,Realizar test de piel,Quito,Quito
Sí,"Sí, recientemente (últimos 6 meses)",Muy asociada,Experta,Muy clara,"Sí, claramente",nan,nan,nan,Consejos de expertos,nan,nan,Similares,Precio,nan,nan,"Calidad, Producto",nan,Mucho,"Sí, totalmente",nan,nan,Test de piel,nan,nan,Asesoría mas avanzada,Quito,Quito
